,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,label,score
0,1469849067857616900,1469806860291108864,2021-12-12 08:58:20 SE Asia Standard Time,2021-12-12,08:58:20,700,1461518230690971649,coviddatareport,Covid Report,,@hjelle_brian People keep rushing to conclusions over omicron over $$$ amounts and wanting to have there normal life back. I also see places not testing enough down there or some not getting to a hospital. we need to see what omicron does in the UK to get a better understanding.,en,[],[],[],0,0,0,[],[],https://twitter.com/CovidDataReport/status/1469849067857616900,False,,0,,,,,,,,"[{'screen_name': 'hjelle_brian', 'name': 'Brian Hjelle, virologist', 'id': '2880447465'}]",,,,,NEGATIVE,0.9982031583786011
1,1469849057287806977,1469849057287806976,2021-12-12 08:58:18 SE Asia Standard Time,2021-12-12,08:58:18,700,2392460208,jawapos,Jawa Pos,,"Turki Temukan 6 Kasus Omicron, Gejala Ringan,Tak Perlu Rawat Inap  https://t.co/i150j2Oye4",in,[],['https://baliexpress.jawapos.com/read/2021/12/12/308304/turki-temukan-6-kasus-omicron-gejala-ringantak-perlu-rawat-inap'],[],0,0,0,[],[],https://twitter.com/jawapos/status/1469849057287806977,False,,0,,,,,,,,[],,,,,NEGATIVE,0.9821213483810425
2,1469849039302586371,1469006113052008448,2021-12-12 08:58:14 SE Asia Standard Time,2021-12-12,08:58:14,700,1350749706658455552,sguardo_di,Riccardo Brandoni,,@business Maybe they have omicron from the airplane. Not in the hotel,en,[],[],[],0,0,0,[],[],https://twitter.com/sguardo_di/status/1469849039302586371,False,,0,,,,,,,,"[{'screen_name': 'business', 'name': 'Bloomberg', 'id': '34713362'}]",,,,,NEGATIVE,0.9976109266281128
3,1469849029203075081,1469849029203075072,2021-12-12 08:58:11 SE Asia Standard Time,2021-12-12,08:58:11,700,36287570,bunny_godfather,Andreas_sensei💉💉 fully vaccinated,,And that's how it begins 'Japan confirms first case of omicron that passed quarantine inspection'  https://t.co/rrDgXRItkw,en,[],['https://www.japantimes.co.jp/news/2021/12/12/national/omicron-japan-quarantine-inspection/'],[],0,0,0,[],[],https://twitter.com/Bunny_Godfather/status/1469849029203075081,False,,0,,,,,,,,[],,,,,POSITIVE,0.8828208446502686
4,1469849019094605824,1469849019094605824,2021-12-12 08:58:09 SE Asia Standard Time,2021-12-12,08:58:09,700,1445787204039503874,matrix45832,21finz.com,,21finz just discovered: Youtube: New Insight On Transmissibility Of Omicron Variant -  https://t.co/nHaeC3RqiT,en,[],['https://21finz.com/2021/12/11/youtube-new-insight-on-transmissibility-of-omicron-variant/'],[],0,0,0,[],[],https://twitter.com/matrix45832/status/1469849019094605824,False,,0,,,,,,,,[],,,,,POSITIVE,0.5965542793273926
5,1469849017186238465,1469716644729700352,2021-12-12 08:58:08 SE Asia Standard Time,2021-12-12,08:58:08,700,1467568893355077637,georgeo28619258,George orwell,,@YFumehood @CthulhuHulu @Myriam91733196 @MTRX2010 @GregAbbott_TX The delta variant  was  the main one until a week or two ago.... plus omicron is much more mild then delta! So whats your point?,en,[],[],[],0,0,0,[],[],https://twitter.com/Georgeo28619258/status/1469849017186238465,False,,0,,,,,,,,"[{'screen_name': 'YFumehood', 'name': 'YaYaFumehood', 'id': '1248776024575311872'}, {'screen_name': 'CthulhuHulu', 'name': 'Dale Burden', 'id': '963891812007120897'}, {'screen_name': 'Myriam91733196', 'name': 'Myriam', 'id': '1324199154856308737'}, {'screen_name': 'MTRX2010', 'name': 'MTRX2010', 'id': '141732660'}, {'screen_name': 'GregAbbott_TX', 'name': 'Greg Abbott', 'id': '90651198'}]",,,,,NEGATIVE,0.9962531328201294
6,1469849013289578501,1469781940932853760,2021-12-12 08:58:07 SE Asia Standard Time,2021-12-12,08:58:07,700,1010612273327423488,darkstar4555,Gregory Roberts,,@hormonedietdoc Now would be a good time since we’re all getting some Omicron soon.,en,[],[],[],0,0,0,[],[],https://twitter.com/Darkstar4555/status/1469849013289578501,False,,0,,,,,,,,"[{'screen_name': 'hormonedietdoc', 'name': 'Dr. Jay Wrigley', 'id': '828032385904021504'}]",,,,,POSITIVE,0.9945947527885437
7,1469849002053017600,1469849002053017600,2021-12-12 08:58:05 SE Asia Standard Time,2021-12-12,08:58:05,700,1462694316875272197,boberto469,bob redding,,@bambamtuivasa out here doing shoeis with strangers shoes. Fuqq omicron n shit 😂😂,en,[],[],[],0,0,0,[],[],https://twitter.com/boberto469/status/1469849002053017600,False,,0,,,,,,,,[],,,,,NEGATIVE,0.9945688247680664
8,1469849001285623809,1469849001285623808,2021-12-12 08:58:05 SE Asia Standard Time,2021-12-12,08:58:05,700,1040069642,jryerson1,John Ryerson,,Very important information on omicron virus,en,[],[],[],0,0,0,[],[],https://twitter.com/jryerson1/status/1469849001285623809,False,https://twitter.com/acoyne/status/1469814906346160134,0,,,,,,,,[],,,,,POSITIVE,0.9978870749473572
9,1469849000836751362,1469849000836751360,2021-12-12 08:58:04 SE Asia Standard Time,2021-12-12,08:58:04,700,4858437255,16rock_rock,16Rock,,Wisconsin wedding leads to Omicron super spread in Oakland  https://t.co/osJLF0eUIK via @MailOnline,en,"[{'screen_name': 'mailonline', 'name': 'daily mail online', 'id': '15438913'}]",['https://mol.im/a/10299553'],[],0,0,0,[],[],https://twitter.com/16rock_rock/status/1469849000836751362,False,,0,,,,,,,,[],,,,,NEGATIVE,0.9578564763069153
10,1469848996529287173,1469848996529287168,2021-12-12 08:58:03 SE Asia Standard Time,2021-12-12,08:58:03,700,713209489898471424,guty2370,Guty Schnauzer,,"LONDRES Las💉de refuerzo de COVID-19 restauran significativamente la protección contra la enfermedad leve causada por Omicron, revirtiendo en parte una caída pronunciada en la efectividad de la💉dijo la Agencia de Seguridad Sanitaria de UK  https://t.co/rl6nAlDEPw",es,[],['https://www.reuters.com/world/uk/boosters-give-70-75-protection-against-mild-disease-omicron-uk-health-security-2021-12-10/'],[],0,0,0,[],[],https://twitter.com/guty2370/status/1469848996529287173,False,,0,,,,,,,,[],,,,,NEGATIVE,0.9890718460083008
11,1469848996122345474,1469734602461917184,2021-12-12 08:58:03 SE Asia Standard Time,2021-12-12,08:58:03,700,1300041063307055104,m3l1ciou5,m3l1c1ou5 🌿🥄💛🤍💜🖤,,"@DadEducator @dwain_campbell apparently there's a breakout of omicron in guelph high schools going on right now.  the negligence of the provincial govt is shameful--callous, intentional, and shameful.",en,[],[],[],0,0,0,[],[],https://twitter.com/m3l1ciou5/status/1469848996122345474,False,,0,,,,,,,,"[{'screen_name': 'DadEducator', 'name': 'OntarioEducatorDad', 'id': '1294613752743165952'}, {'screen_name': 'dwain_campbell', 'name': 'Unclebrain', 'id': '1180991940042661888'}]",,,,,NEGATIVE,0.9983025789260864
